1430757311 || [Thread:1] || INFO || Server 0: Server connection established
1430757311 || [Thread:9] || INFO || Server 0: New incoming connection accepted from localhost
1430757311 || [Thread:1] || INFO || Performing: -1~~1~~0~~ADD_NODE==0==localhost==0
1430757311 || [Thread:1] || INFO || break before I add myself
1430757311 || [Thread:1] || INFO || As primary, creating: 0~~1~~0~~ADD_NODE==0==localhost==0
1430757311 || [Thread:1] || INFO || Committing: 0~~1~~0~~ADD_NODE==0==localhost==0
1430757311 || [Thread:11] || INFO || Starting message thread
1430757311 || [Thread:12] || INFO || Starting entropy thread
1430757311 || [Thread:9] || INFO || Server 0: New incoming connection accepted from localhost
1430757311 || [Thread:11] || FINE || Trying to parse: defaultName--JOIN--ADD_NODE==defaultName==localhost==1
1430757311 || [Thread:11] || INFO || Naming server at port 1: <2,0>
1430757311 || [Thread:11] || INFO || Performing: -1~~2~~0~~ADD_NODE==<2,0>==localhost==1
1430757311 || [Thread:11] || INFO || CONTROL: connecting to <2,0> at 1, client: false
1430757311 || [Thread:11] || INFO || As primary, creating: 1~~2~~0~~ADD_NODE==<2,0>==localhost==1
1430757311 || [Thread:11] || INFO || Committing: 1~~2~~0~~ADD_NODE==<2,0>==localhost==1
1430757311 || [Thread:11] || INFO || Sending Message to <2,0>:	0--NAME--<2,0>
1430757311 || [Thread:9] || INFO || Server 0: New incoming connection accepted from localhost
1430757311 || [Thread:11] || FINE || Trying to parse: defaultName--JOIN--ADD_NODE==defaultName==localhost==2
1430757311 || [Thread:11] || INFO || Naming server at port 2: <3,0>
1430757311 || [Thread:11] || INFO || Performing: -1~~3~~0~~ADD_NODE==<3,0>==localhost==2
1430757311 || [Thread:11] || INFO || CONTROL: connecting to <3,0> at 2, client: false
1430757311 || [Thread:11] || INFO || As primary, creating: 2~~3~~0~~ADD_NODE==<3,0>==localhost==2
1430757311 || [Thread:11] || INFO || Committing: 2~~3~~0~~ADD_NODE==<3,0>==localhost==2
1430757311 || [Thread:11] || INFO || Sending Message to <3,0>:	0--NAME--<3,0>
1430757311 || [Thread:11] || FINE || Trying to parse: defaultName--JOIN--ADD_NODE==defaultName==localhost==3
1430757311 || [Thread:9] || INFO || Server 0: New incoming connection accepted from localhost
1430757311 || [Thread:11] || INFO || Naming server at port 3: <4,0>
1430757311 || [Thread:11] || INFO || Performing: -1~~4~~0~~ADD_NODE==<4,0>==localhost==3
1430757311 || [Thread:11] || INFO || CONTROL: connecting to <4,0> at 3, client: false
1430757311 || [Thread:11] || INFO || As primary, creating: 3~~4~~0~~ADD_NODE==<4,0>==localhost==3
1430757311 || [Thread:11] || INFO || Committing: 3~~4~~0~~ADD_NODE==<4,0>==localhost==3
1430757311 || [Thread:11] || INFO || Sending Message to <4,0>:	0--NAME--<4,0>
1430757311 || [Thread:1] || INFO || Received PAUSE from Master
1430757311 || [Thread:1] || INFO || Received DISCONNECT2 from Master
1430757311 || [Thread:1] || INFO || CONTROL: disconnecting <3,0> at port 2
1430757311 || [Thread:1] || INFO || Received DISCONNECT3 from Master
1430757311 || [Thread:1] || INFO || CONTROL: disconnecting <4,0> at port 3
1430757311 || [Thread:1] || INFO || Received START from Master
1430757311 || [Thread:9] || INFO || Server 0: New incoming connection accepted from localhost
1430757311 || [Thread:11] || FINE || Trying to parse: client4--CONNECT--4
1430757311 || [Thread:11] || INFO || Connected to client 4
1430757311 || [Thread:11] || INFO || CONTROL: connecting to client4 at 4, client: true
1430757311 || [Thread:11] || FINE || Trying to parse: client4--OPERATION--PUT==a==123;;;0=0:
1430757311 || [Thread:11] || INFO || performing dependency check
1430757311 || [Thread:11] || INFO || Performing: -1~~5~~0~~PUT==a==123
1430757311 || [Thread:11] || INFO || As primary, creating: 4~~5~~0~~PUT==a==123
1430757311 || [Thread:11] || INFO || Committing: 4~~5~~0~~PUT==a==123
1430757311 || [Thread:11] || INFO || Sending Message to client4:	0--WRITE_RESULT--0=5:
1430757311 || [Thread:1] || INFO || Received STABILIZE5 from Master
1430757311 || [Thread:1] || INFO || Received STABILIZE, and am currently stable
1430757311 || [Thread:1] || INFO || Received STABILIZE5 from Master
1430757311 || [Thread:1] || INFO || Received STABILIZE, and am currently stable
1430757311 || [Thread:1] || INFO || Received STABILIZE5 from Master
1430757311 || [Thread:1] || INFO || Received STABILIZE, and am currently stable
1430757311 || [Thread:1] || INFO || Received STABILIZE5 from Master
1430757311 || [Thread:1] || INFO || Received STABILIZE, and am currently stable
1430757311 || [Thread:1] || INFO || Received STABILIZE5 from Master
1430757311 || [Thread:1] || INFO || Received STABILIZE, and am currently stable
1430757311 || [Thread:1] || INFO || Received STABILIZE5 from Master
1430757311 || [Thread:1] || INFO || Received STABILIZE, and am currently stable
1430757311 || [Thread:1] || INFO || Received STABILIZE5 from Master
1430757311 || [Thread:1] || INFO || Received STABILIZE, and am currently stable
1430757311 || [Thread:1] || INFO || Received STABILIZE5 from Master
